district,date,month,year,visitors,Type
Jangaon ,01-08-2017,August,2017,0,Foreign
Jangaon ,01-09-2017,September,2017,0,Foreign
Jangaon ,01-10-2017,October,2017,0,Foreign
Jangaon ,01-11-2017,November,2017,0,Foreign
Jangaon ,01-12-2017,December,2017,0,Foreign
Jayashankar Bhoopalpally,01-01-2017,January,2017,85,Foreign
Jayashankar Bhoopalpally,01-02-2017,February,2017,38,Foreign
Jayashankar Bhoopalpally,01-03-2017,March,2017,35,Foreign
Jayashankar Bhoopalpally,01-04-2017,April,2017,36,Foreign
Jayashankar Bhoopalpally,01-05-2017,May,2017,40,Foreign
Jayashankar Bhoopalpally,01-06-2017,June,2017,35,Foreign
Jayashankar Bhoopalpally,01-07-2017,July,2017,42,Foreign
Jayashankar Bhoopalpally,01-08-2017,August,2017,45,Foreign
Jayashankar Bhoopalpally,01-09-2017,September,2017,56,Foreign
Jayashankar Bhoopalpally,01-10-2017,October,2017,55,Foreign
Jayashankar Bhoopalpally,01-11-2017,November,2017,58,Foreign
Jayashankar Bhoopalpally,01-12-2017,December,2017,57,Foreign
Jogulamba Gadwal ,01-01-2017,January,2017,20,Foreign
Jogulamba Gadwal ,01-02-2017,February,2017,16,Foreign
Jogulamba Gadwal ,01-03-2017,March,2017,32,Foreign
Jogulamba Gadwal ,01-04-2017,April,2017,29,Foreign
Jogulamba Gadwal ,01-05-2017,May,2017,31,Foreign
Jogulamba Gadwal ,01-06-2017,June,2017,32,Foreign
Jogulamba Gadwal ,01-07-2017,July,2017,34,Foreign
Jogulamba Gadwal ,01-08-2017,August,2017,25,Foreign
Jogulamba Gadwal ,01-09-2017,September,2017,42,Foreign
Jogulamba Gadwal ,01-10-2017,October,2017,13,Foreign
Jogulamba Gadwal ,01-11-2017,November,2017,21,Foreign
Jogulamba Gadwal ,01-12-2017,December,2017,10,Foreign
Kamareddy ,01-01-2017,January,2017,0,Foreign
Kamareddy ,01-02-2017,February,2017,0,Foreign
Kamareddy ,01-03-2017,March,2017,0,Foreign
Kamareddy ,01-04-2017,April,2017,0,Foreign
Kamareddy ,01-05-2017,May,2017,0,Foreign
Kamareddy ,01-06-2017,June,2017,0,Foreign
Kamareddy ,01-07-2017,July,2017,0,Foreign
Kamareddy ,01-08-2017,August,2017,0,Foreign
Kamareddy ,01-09-2017,September,2017,0,Foreign
Kamareddy ,01-10-2017,October,2017,0,Foreign
Kamareddy ,01-11-2017,November,2017,0,Foreign
Kamareddy ,01-12-2017,December,2017,0,Foreign
Karimnagar ,01-01-2017,January,2017,0,Foreign
Karimnagar ,01-02-2017,February,2017,0,Foreign
Karimnagar ,01-03-2017,March,2017,0,Foreign
Karimnagar ,01-04-2017,April,2017,0,Foreign
Karimnagar ,01-05-2017,May,2017,0,Foreign
Karimnagar ,01-06-2017,June,2017,0,Foreign
Karimnagar ,01-07-2017,July,2017,0,Foreign
Karimnagar ,01-08-2017,August,2017,0,Foreign
Karimnagar ,01-09-2017,September,2017,0,Foreign
Karimnagar ,01-10-2017,October,2017,0,Foreign
Karimnagar ,01-11-2017,November,2017,0,Foreign
Karimnagar ,01-12-2017,December,2017,0,Foreign
Khammam,01-01-2017,January,2017,0,Foreign
Khammam,01-02-2017,February,2017,0,Foreign
Khammam,01-03-2017,March,2017,0,Foreign
Khammam,01-04-2017,April,2017,0,Foreign
Khammam,01-05-2017,May,2017,0,Foreign
Khammam,01-06-2017,June,2017,0,Foreign
Khammam,01-07-2017,July,2017,0,Foreign
Khammam,01-08-2017,August,2017,0,Foreign
Khammam,01-09-2017,September,2017,0,Foreign
Khammam,01-10-2017,October,2017,0,Foreign
Khammam,01-11-2017,November,2017,0,Foreign
Khammam,01-12-2017,December,2017,0,Foreign
Komaram Bheem Asifabad,01-01-2017,January,2017,0,Foreign
Komaram Bheem Asifabad,01-02-2017,February,2017,0,Foreign
Komaram Bheem Asifabad,01-03-2017,March,2017,0,Foreign
Komaram Bheem Asifabad,01-04-2017,April,2017,0,Foreign
Komaram Bheem Asifabad,01-05-2017,May,2017,0,Foreign
Komaram Bheem Asifabad,01-06-2017,June,2017, ,Foreign
Komaram Bheem Asifabad,01-07-2017,July,2017,0,Foreign
Komaram Bheem Asifabad,01-08-2017,August,2017,0,Foreign
Komaram Bheem Asifabad,01-09-2017,September,2017,0,Foreign
